Word,Word,Category(synonym/antonym/near-antonym/related/identifier),Context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fontarial,fontserif,identifier ,font font new fontarial,font font new fontserif
intermediate_thumbnail_width,initial_string_buffer_size,identifier,public static int intermediate_thumbnail_width,public static final int initial_string_buffer_size
thumbnail_width,fullscreen_width,identifier,public static int thumbnail_width,public static int fullscreen_width
albumfilename,photosfilename,identifier,string albumfilename directory + file separator + album dat,string photosfilename directory + file separator + photos dat
fullscreen_height,initial_string_buffer_size,no,public static int fullscreen_height,public static final int initial_string_buffer_size
fullscreen_width,low_frequency_delay,no,public static int fullscreen_width,public static int low_frequency_delay
intermediate_thumbnail_width,intermediate_thumbnail_height,identifier,public static int intermediate_thumbnail_width,public static int intermediate_thumbnail_height
audio,media,related,interface to represent a playlist of audio files,base container interface to represent a containercollection of media files
type,title,related,comparator that sorts by type,comparator that sorts by title
tivo_port,thumbnail_width,no,public static int tivo_port,public static int thumbnail_width
image,backgroundimage,related,image image imagetracker getimage,image backgroundimage imagetracker getimage
main,base,related,main class to handle incoming tivo requests,base class to represent all incoming tivo requests
albumtext,phototext,identifier,string albumtext bufreader readline,string phototext bufreader readline
month,duration,related,find key for sorting by month,find key for sorting by duration
png,jpg,related,outputstream baos new fileoutputstreamcjavahmotest png,outputstream baos new fileoutputstreamcjavahmotest jpg
tivo_port,high_frequency_period,no,public static int tivo_port,public static int high_frequency_period
albumtext,lineoftext,identifier,string albumtext bufreader readline,string lineoftext bufreader readline
allow,restrict,antonym,find a rule that allows downloads,find a rule that restricts downloads
thumbnail_height,high_frequency_delay,no,public static int thumbnail_height,public static int high_frequency_delay
album,photos,related,string albumfilename directory + file separator + album dat,string photosfilename directory + file separator + photos dat
tivo_port,thumbnail_height,no,public static int tivo_port,public static int thumbnail_height
decade,duration,related,find key for sorting by decade,find key for sorting by duration
prefix,suffix,antonym,one of the supplied prefixes,one of the supplied suffixes,file does not match list of accepted prefixes,file does not match list of accepted suffixes,copy the array of suffixes,copy the array of prefixes
dh,part,identifier,inputstream is dh getinputstream,inputstream is part getinputstream
listing,internet,no,container for listing images,container for internet images
position,classloader,no,use the default position,use the default classloader
mu,pls,identifier,mu playlists of audio files and urls,pls playlists of audio files and urls
low_frequency_delay,high_frequency_delay,identifier,public static int low_frequency_delay,public static int high_frequency_delay
fullscreen_height,intermediate_thumbnail_width,no,public static int fullscreen_height,public static int intermediate_thumbnail_width
image,represents,no,image meta data required by tivo,represents meta data required by tivo
thumbnail_width,low_frequency_delay,no,public static int thumbnail_width,public static int low_frequency_delay
thumbnail_width,intermediate_thumbnail_height,identifier,public static int thumbnail_width,public static int intermediate_thumbnail_height
high_frequency_delay,initial_string_buffer_size,no,public static int high_frequency_delay,public static final int initial_string_buffer_size
year,duration,related,find key for sorting by year,find key for sorting by duration
child,mstations,no,iterator i children iterator,for iterator i mstations iterator
store,session,no,get a store object,get a session object
black,white,antonym,the image for black,the image for white
fullscreen_height,high_frequency_period,no,public static int fullscreen_height,public static int high_frequency_period
thumbnail_height,intermediate_thumbnail_width,identifier,public static int thumbnail_height,public static int intermediate_thumbnail_width
thumbnail_width,fullscreen_height,no,public static int thumbnail_width,public static int fullscreen_height
audio,image,related,the audio organizer cache is persisted in an xml file,the image organizer cache is persisted in an xml file,interface to represent a playlist of audio files,interface to represent a container of image files,interface for image plugins,interface for audio plugins,request from tivo for an image document,request from tivo for an audio document,container for image organizer,container for audio organizer
albumfilename,fileabsolutepath,identifier,string albumfilename directory + file separator + album dat,string fileabsolutepath directory + file separator + dirtouse
tivo_port,initial_string_buffer_size,no,public static int tivo_port,public static final int initial_string_buffer_size
textvaluecolor,color,identifier,color textvaluecolor new color,very light blue color color new color,color color new color,color textvaluecolor new color
fullscreen_height,intermediate_thumbnail_height,no,public static int fullscreen_height,public static int intermediate_thumbnail_height
type,date,related,comparator that sorts by type,comparator that sorts by date
end,start,antonym,end of an element,start of an element
filter,sort,related,return a filter filter that matches a tivo filter parameter,return a chainedcomparator that matches a tivo sort parameter,the tivo sort param can contain multiple types,the tivo filter param can contain multiple types
fullscreen_width,intermediate_thumbnail_width,no,public static int fullscreen_width,public static int intermediate_thumbnail_width
fullscreen_width,fullscreen_height,identifier,public static int fullscreen_width,public static int fullscreen_height
params,parameters,synonym,get params from url,get parameters from the request url
year,decade,related,find key for sorting by year,find key for sorting by decade
year,month,related,find key for sorting by year,find key for sorting by month
p,dh,identifier,inputstream is p getinputstream,inputstream is dh getinputstream
textlabelcolor,color,related,color textlabelcolor new color,very light blue color color new color,color color new color,color textlabelcolor new color
thumbnail_height,high_frequency_period,no,public static int thumbnail_height,public static int high_frequency_period
correct,null,near antonym,if we play an image getpath is correct,todo if we play an audio item getpath is null
tivo_port,high_frequency_delay,no,public static int tivo_port,public static int high_frequency_delay
parameter_format,parameter_filter,identifier,public static final string parameter_format_audio audio,public static final string parameter_filter_audio audio
icon,imagetracker,identifier,image image icon getimage,image image imagetracker getimage
high_frequency_delay,high_frequency_period,identifier,public static int high_frequency_delay,public static int high_frequency_period
albums,photos,related,if log isdebugenabled log debuggot + numentries + albums,if log isdebugenabled log debuggot + numentries + photos
fullscreen_height,low_frequency_delay,no,public static int fullscreen_height,public static int low_frequency_delay
fileimagename,filesubalbumpath,identifier,file file resolvelinknew fileimagename,file file resolvelinknew filesubalbumpath
vertically,horizontally,antonym,place the original image inside the new image vertically centered,place the original image inside the new image horizontally centered
low_frequency_delay,initial_string_buffer_size,no,public static int low_frequency_delay,public static final int initial_string_buffer_size
high_frequency_period,initial_string_buffer_size,no,public static int high_frequency_period,public static final int initial_string_buffer_size
negative,positive,antonym,when itemcount is negative,when itemcount is positive
results,instances,related,utility wrapper class to store sorted results in the cache,utility wrapper class to store proxy instances in the cache
details,temperature,no,current details font new fonthelvetica,current temperature font new fonthelvetica
