Word,Word,Category(synonym/antonym/near-antonym/related/identifier),Context
pause,readahead,related,sys pause,sys readahead
present,technology,no,acpi battery present,acpi battery technology
dataisr,carddetect,no,via sdc data isr,via sdc card detect
nl,touchit,related,nl connect,touchit connect,nl disconnect,touchit disconnect
inval,invalidate,synonym,flush inval dcache range,flush invalidate dcache all,flush inval dcache range,flush invalidate dcache page,flush inval dcache range,flush invalidate dcache range
devicedma,xenbusring,no,device dma ops init,xenbus ring ops init
bus,edge,no,bus disconnect,edge disconnect
ixprint,saupdate,no,ix print dram timings,sa update dram timings
cx,netx,no,cx shutdown,netx shutdown
vt,ashmem,no,vt ioctl,ashmem ioctl
getparam,setparam,related,compat sys sched getparam,compat sys sched setparam,radeon cp getparam,radeon cp setparam
inode,entries,related,clear inode,clear entries
ax,gfk,related,ax connect,gfk connect,ax disconnect,gfk disconnect
s,usbbcm,no,s disconnect,usbbcm disconnect
cebr,lnebr,no,emu cebr,emu lnebr
diagread,enablescatter,no,athkl sdio diag read,athkl sdio enable scatter
audit,ftrace,no,audit free rule rcu,ftrace free entry rcu
cpls,tbufs,no,alloc cpls,alloc tbufs
wq,journal,related,wq sync buffer,journal sync buffer
bit,tramp,related,change bit,change tramp
cam,pwm,related,cam mode,pwm mode
proc,minstrel,related,proc stats open,minstrel stats open
anysee,psmouse,no,anysee disconnect,psmouse disconnect
getitimer,personality,no,sys getitimer,sys personality
lpxbr,mdebr,no,emu lpxbr,emu mdebr
signal,hsdatafifo,no,saa wait for signal,mdfld wait for hsdatafifo
mcs,vsxxxaa,no,mcs disconnect,vsxxxaa disconnect
port,slow,no,t port intr disable,t slow intr handler,t port intr clear,t slow intr handler,t port intr enable,t slow intr handler
chip,maintenance,related,set chip mode,set maintenance mode
rgmii,serdes,no,link status g rgmii,link status g serdes,xcvr init g rgmii,serdes init g serdes
ssb,sdio,related,ssb bus match,sdio bus match,ssb ssb write,ssb sdio write,ssb ssb read,ssb sdio read
piix,txide,related,piix cable detect,txide cable detect,piix set pio mode,txide set pio mode,piix set pio mode,txide set dma mode,piix set dma mode,txide set dma mode,piix set dma mode,txide set pio mode
command,changeinlatch,no,process command,process changeinlatch
testdev,interface,no,find testdev,find interface
epxx,rawv,no,epxx ioctl,rawv ioctl
ad,sun,no,ad halt,sun halt
initadc,checkswitches,no,alc auto init adc,alc auto check switches
vmoff,vmread,related,handle vmoff,handle vmread
msg,gfs,no,msg exit,gfs exit
s,cnt,no,s attach,cnt attach,s detach,cnt detach
amd,thumbodd,no,amd func,thumbodd func
barrier,cleanup,no,queue barrier,queue cleanup
urbs,requests,related,alloc urbs,alloc requests
siu,sonypi,no,siu shutdown,sonypi shutdown
mseb,cdbr,no,emu mseb,emu cdbr
iecm,errrecov,no,resp iec m pg,resp err recov pg
ipc,sock,related,ipc has perm,sock has perm
emukx,ensoniq,related,snd emukx playback open,snd ensoniq playback close,snd emukx playback close,snd ensoniq playback close,snd emukx playback open,snd ensoniq playback prepare,snd emukx playback open,snd ensoniq playback open,snd emukx playback close,snd ensoniq playback prepare,snd emukx playback close,snd ensoniq playback open,snd emukx midi interrupt,snd ensoniq midi interrupt,snd emukx midi input close,snd ensoniq midi input trigger,snd emukx midi input close,snd ensoniq midi input open,snd emukx midi input close,snd ensoniq midi input close,snd emukx midi input trigger,snd ensoniq midi input trigger,snd ensoniq midi input open,snd emukx midi input trigger,snd ensoniq midi input close,snd emukx midi input trigger,snd emukx midi input open,snd ensoniq midi input trigger,snd emukx midi input open,snd ensoniq midi input open,snd emukx midi input open,snd ensoniq midi input close,snd emukx midi output trigger,snd ensoniq midi input trigger,snd emukx midi output trigger,snd ensoniq midi output trigger,snd emukx midi input trigger,snd ensoniq midi output trigger,snd emukx midi output close,snd ensoniq midi output close,snd emukx midi output trigger,snd ensoniq midi output close,snd emukx midi output open,snd ensoniq midi output close,snd emukx midi output close,snd ensoniq midi output open,snd emukx midi output close,snd ensoniq midi output trigger,snd ensoniq midi output open,snd emukx midi output trigger,snd emukx midi output open,snd ensoniq midi output open,snd emukx midi output open,snd ensoniq midi output trigger,snd emukx midi input close,snd ensoniq midi output close,snd emukx midi output open,snd ensoniq midi input open,snd emukx midi output close,snd ensoniq midi input close,snd emukx midi free,snd ensoniq midi interrupt,snd emukx midi input open,snd ensoniq midi output open,snd emukx pcm prepare,snd ensoniq capture prepare,snd emukx pcm prepare,snd ensoniq playback prepare,snd emukx pcm interrupt,snd ensoniq midi interrupt
mux,timers,no,config mux,config timers
skb,packet,no,pktgen wait for skb,sctp wait for packet,dump skb,dump packet
i,queue,no,i command,queue command,i interrupt,queue interrupt,i cleanup,queue cleanup
close,locked,related,ttm bo vm close,ttm bo unreserve locked,drm vm shm close,drm vm open locked
unwind,siginfo,no,unw unwind to user,copy siginfo to user
waker,disconnect,no,btusb waker,btusb disconnect
bsg,atrtr,no,bsg ioctl,atrtr ioctl
dccp,oxygen,no,dccp shutdown,oxygen shutdown
uss,imon,no,uss disconnect,imon disconnect
snd,elantech,no,snd disconnect,elantech disconnect
iface,restart,no,ieee iface work,ieee restart work
vid,del,no,bdx vlan rx vid,qlcnic vlan rx del
sqxbr,cmpeq,no,emu sqxbr,emu cmpeq
stb,hmatrix,no,stb read reg,hmatrix read reg,stb write reg,hmatrix write reg
rt,addrconf,no,rt ifdown,addrconf ifdown
attach,detach,antonym,budget attach,procwrap attach,budget detach,procwrap detach
iif,proto,no,flow get iif,flow get proto
niu,mcam,no,niu reset buffers,mcam reset buffers
fchmod,ptrace,no,sys fchmod,sys ptrace
lock,vidfromreg,no,lm lock,lm vidfromreg
stab,counters,no,dump stab,dump counters
scx,ufx,no,scx ic init,ufx ic init
rndis,newport,no,rndis exit,newport exit
rpm,audio,no,hdsp set rpm input,cxxx set audio input
tc,at,no,tc config,at config,tc poll,at poll
sep,dev,no,sep ioctl,dev ioctl,sep mmap,dev mmap
ocfs,advwdt,no,ocfs ioctl,advwdt ioctl
hfs,romfs,no,hfs readpage,romfs readpage,hfs i callback,romfs i callback,hfs remount,romfs remount,hfs fill super,romfs fill super,hfs statfs,romfs statfs,hfs readdir,romfs readdir,hfs destroy inode,romfs destroy inode
priv,invalidate,no,kvmppc mmu priv switch,kvmppc mmu invalidate pte
vt,dvp,no,viafb vt proc show,viafb dvp proc show,viafb vt proc show,viafb dvp proc open,viafb vt proc open,viafb dvp proc open,viafb vt proc open,viafb dvp proc show
tgkill,nanosleep,no,sys tgkill,sys nanosleep
